"ENSG00000260750.5","0.372"
"ENSG00000283332.1","0.37"
"ENSG00000214331.8","0.368"
"ENSG00000176715.15","0.367"
"ENSG00000171208.9","0.366"
"ENSG00000096401.7","0.365"
"ENSG00000128872.9","0.365"
"ENSG00000130826.16","0.365"
"ENSG00000166971.16","0.365"
"ENSG00000055483.19","0.362"
"ENSG00000102904.14","0.36"
"ENSG00000151461.19","0.359"
"ENSG00000168807.16","0.359"
"ENSG00000140718.19","0.358"
"ENSG00000163798.13","0.358"
"ENSG00000166595.11","0.358"
"ENSG00000182952.4","0.358"
"ENSG00000138231.12","0.357"
"ENSG00000165733.7","0.357"
"ENSG00000188021.8","0.357"
"ENSG00000131153.8","0.356"
"ENSG00000166860.2","0.356"
"ENSG00000187736.12","0.356"
"ENSG00000213516.9","0.356"
"ENSG00000137337.14","0.355"
"ENSG00000162437.14","0.355"
"ENSG00000108854.15","0.354"
"ENSG00000140832.9","0.354"
"ENSG00000158805.11","0.354"
"ENSG00000107443.15","0.353"
"ENSG00000264364.2","0.353"
"ENSG00000039523.18","0.352"
"ENSG00000089048.14","0.352"
"ENSG00000179409.10","0.352"
"ENSG00000086712.12","0.35"
"ENSG00000140876.11","0.348"
"ENSG00000141012.12","0.348"
"ENSG00000160208.12","0.348"
"ENSG00000165675.16","0.347"
"ENSG00000116641.17","0.346"
"ENSG00000124784.8","0.346"
"ENSG00000072501.17","0.345"
"ENSG00000273820.1","0.345"
"ENSG00000005100.12","0.344"
"ENSG00000113838.12","0.344"
"ENSG00000163161.12","0.344"
"ENSG00000134897.13","0.343"
"ENSG00000011260.13","0.342"
"ENSG00000130935.9","0.341"
"ENSG00000131149.18","0.341"
"ENSG00000132383.11","0.341"
"ENSG00000162377.5","0.341"
"ENSG00000065183.15","0.34"
"ENSG00000088205.12","0.34"
"ENSG00000161542.16","0.34"
"ENSG00000222019.7","0.34"
"ENSG00000099995.18","0.339"
"ENSG00000136891.13","0.339"
"ENSG00000204560.9","0.339"
"ENSG00000155959.10","0.338"
"ENSG00000042429.10","0.337"
"ENSG00000080819.6","0.337"
"ENSG00000108055.9","0.337"
"ENSG00000100916.13","0.336"
"ENSG00000138381.9","0.336"
"ENSG00000056586.15","0.335"
"ENSG00000198056.13","0.335"
"ENSG00000089195.14","0.334"
"ENSG00000101407.12","0.334"
"ENSG00000196470.11","0.334"
"ENSG00000225439.2","0.334"
"ENSG00000261079.1","0.334"
"ENSG00000020922.12","0.333"
"ENSG00000102984.14","0.333"
"ENSG00000105186.15","0.333"
"ENSG00000115816.14","0.333"
"ENSG00000126261.12","0.333"
"ENSG00000138686.9","0.333"
"ENSG00000165732.12","0.333"
"ENSG00000112294.12","0.332"
"ENSG00000108423.14","0.33"
"ENSG00000111142.13","0.33"
"ENSG00000174437.16","0.33"
"ENSG00000183431.11","0.33"
"ENSG00000065970.8","0.329"
"ENSG00000096746.17","0.329"
"ENSG00000107937.18","0.328"
"ENSG00000101367.8","0.327"
"ENSG00000121864.9","0.327"
"ENSG00000159131.16","0.327"
"ENSG00000164024.11","0.327"
"ENSG00000006007.11","-0.189"
"ENSG00000131097.6","-0.189"
"ENSG00000170122.5","-0.189"
"ENSG00000130045.15","-0.19"
"ENSG00000198570.5","-0.19"
"ENSG00000201098.1","-0.19"
"ENSG00000229809.8","-0.19"
"ENSG00000104129.9","-0.191"
"ENSG00000105327.16","-0.191"
"ENSG00000110628.13","-0.191"
"ENSG00000125611.15","-0.191"
"ENSG00000149932.16","-0.191"
"ENSG00000179772.7","-0.191"
"ENSG00000182512.4","-0.191"
"ENSG00000187942.11","-0.191"
"ENSG00000236824.2","-0.191"
"ENSG00000241359.1","-0.191"
"ENSG00000248712.7","-0.191"
"ENSG00000054148.17","-0.192"
"ENSG00000114737.15","-0.192"
"ENSG00000125869.9","-0.192"
"ENSG00000143473.11","-0.192"
"ENSG00000164938.13","-0.192"
"ENSG00000204334.7","-0.192"
"ENSG00000228607.2","-0.192"
"ENSG00000249860.3","-0.192"
"ENSG00000261183.5","-0.192"
"ENSG00000130997.16","-0.193"
"ENSG00000164403.14","-0.193"
"ENSG00000166927.12","-0.193"
"ENSG00000175938.6","-0.193"
"ENSG00000185420.18","-0.193"
"ENSG00000213316.9","-0.193"
"ENSG00000221788.1","-0.193"
"ENSG00000100577.18","-0.194"
"ENSG00000119699.7","-0.194"
"ENSG00000135821.17","-0.194"
"ENSG00000157613.10","-0.194"
"ENSG00000162576.16","-0.194"
"ENSG00000170959.14","-0.194"
"ENSG00000182165.17","-0.194"
"ENSG00000237101.1","-0.194"
"ENSG00000272344.1","-0.194"
"ENSG00000070031.3","-0.195"
"ENSG00000103152.11","-0.195"
"ENSG00000103253.17","-0.195"
"ENSG00000105419.17","-0.195"
"ENSG00000184492.6","-0.195"
"ENSG00000202198.1","-0.195"
"ENSG00000249825.5","-0.195"
"ENSG00000283152.1","-0.195"
"ENSG00000283293.1","-0.195"
"ENSG00000099624.7","-0.196"
"ENSG00000117598.11","-0.196"
"ENSG00000130731.15","-0.196"
"ENSG00000138615.5","-0.196"
"ENSG00000164294.13","-0.196"
"ENSG00000170906.15","-0.196"
"ENSG00000177465.4","-0.196"
"ENSG00000184659.5","-0.196"
"ENSG00000065054.13","-0.197"
"ENSG00000118702.9","-0.197"
"ENSG00000140044.12","-0.197"
"ENSG00000145491.11","-0.197"
"ENSG00000165886.4","-0.197"
"ENSG00000235687.8","-0.197"
"ENSG00000254584.1","-0.197"
"ENSG00000278921.2","-0.197"
"ENSG00000099785.10","-0.198"
"ENSG00000127184.11","-0.198"
"ENSG00000162076.12","-0.198"
"ENSG00000162078.11","-0.198"
"ENSG00000187730.7","-0.198"
"ENSG00000161642.17","-0.199"
"ENSG00000164893.8","-0.199"
"ENSG00000187024.13","-0.199"
"ENSG00000199396.1","-0.199"
"ENSG00000202521.1","-0.199"
"ENSG00000004838.13","-0.2"
"ENSG00000103363.14","-0.2"
"ENSG00000108821.13","-0.2"
"ENSG00000115648.13","-0.2"
"ENSG00000133962.7","-0.2"
"ENSG00000141449.14","-0.2"
"ENSG00000206630.1","-0.2"
"ENSG00000281010.1","-0.2"
"ENSG00000105664.10","-0.201"
"ENSG00000108576.9","-0.201"
"ENSG00000155719.16","-0.201"
"ENSG00000183648.9","-0.201"
"ENSG00000200343.1","-0.201"
"ENSG00000008196.12","-0.202"
"ENSG00000076716.8","-0.202"
"ENSG00000166676.14","-0.202"
"ENSG00000200381.1","-0.202"
"ENSG00000202538.1","-0.202"
"ENSG00000067836.12","-0.203"
"ENSG00000111348.8","-0.203"
"ENSG00000135404.11","-0.203"
"ENSG00000157214.13","-0.203"
"ENSG00000160401.14","-0.203"
"ENSG00000177700.5","-0.203"
"ENSG00000249835.2","-0.203"
"ENSG00000082781.11","-0.204"
"ENSG00000103269.13","-0.204"
"ENSG00000105518.13","-0.204"
"ENSG00000117601.13","-0.204"
"ENSG00000162004.16","-0.204"
"ENSG00000204779.2","-0.204"
"ENSG00000221792.1","-0.204"
"ENSG00000243649.8","-0.205"
"ENSG00000127540.11","-0.206"
"ENSG00000187048.12","-0.206"
"ENSG00000197182.13","-0.206"
"ENSG00000240990.9","-0.206"
"ENSG00000243321.3","-0.206"
